DMA_CODE,DMA_NAME,# of Orders,# of Unique Customer,total_revenue
657,"Sherman, TX-Ada, OK",21,17,11026.56
658,"Green Bay-Appleton, WI",105,73,44865.76
659,"Nashville, TN",593,429,402646.56
661,"San Angelo, TX",25,14,21035.26
662,"Abilene-Sweetwater, TX",42,30,49523.28
669,"Madison, WI",213,153,114477.56
670,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",96,70,49364.3
671,"Tulsa, OK",256,188,174858.34
673,"Columbus-Tupelo-West Point, MS",43,31,16582.0
675,"Peoria-Bloomington, IL",122,70,115343.52
676,"Duluth, MN-Superior, WI",59,43,35798.28
678,"Wichita-Hutchinson, KS Plus",125,84,50789.38
679,"Des Moines-Ames, IA",168,115,168707.74
682,"Davenport, IA-Rock Island-Moline, IL",86,60,38139.52
686,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",221,168,119829.72
687,"Minot-Bismarck-Dickinson(Williston), ND",15,11,4245.56
691,"Huntsville-Decatur (Florence), AL",154,103,79374.54
692,"Beaumont-Port Arthur, TX",37,30,17714.88
693,"Little Rock-Pine Bluff, AR",211,151,94757.98
698,"Montgomery-Selma, AL",83,57,43960.62
702,"La Crosse-Eau Claire, WI",48,34,28594.98
705,"Wausau-Rhinelander, WI",65,38,38894.48
709,"Tyler-Longview(Lufkin & Nacogdoches), TX",144,93,100172.0
710,"Hattiesburg-Laurel, MS",38,28,20913.84
711,"Meridian, MS",17,13,10998.0
716,"Baton Rouge, LA",159,101,117647.42
717,"Quincy, IL-Hannibal, MO-Keokuk, IA",25,18,13999.2
718,"Jackson, MS",129,100,51420.8
722,"Lincoln & Hastings-Kearney, NE",89,59,56547.38
724,"Fargo-Valley City, ND",35,28,12951.64
725,"Sioux Falls (Mitchell), SD",72,48,50924.12
734,"Jonesboro, AR",9,5,5670.2
736,"Bowling Green, KY",20,14,9887.64
737,"Mankato, MN",13,8,9192.48
740,"North Platte, NE",3,2,1089.0
746,"Biloxi-Gulfport, MS",34,28,18825.7
749,"Laredo, TX",19,13,10060.64
751,"Denver, CO",1552,1030,948642.9
752,"Colorado Springs-Pueblo, CO",157,109,85884.86
753,"Phoenix, AZ",1358,886,870593.48
754,"Butte-Bozeman, MT",103,62,71410.66
755,"Great Falls, MT",28,17,9060.8
756,"Billings, MT",51,34,20100.1
757,"Boise, ID",244,173,144171.56
758,"Idaho Falls-Pocatello, ID",95,57,72794.72
759,"Cheyenne, WY-Scottsbluff, NE",24,14,17177.78
760,"Twin Falls, ID",109,66,98199.76
762,"Missoula, MT",78,51,45487.52
764,"Rapid City, SD",31,17,17003.76
765,"El Paso, TX",104,74,43193.45
766,"Helena, MT",11,11,10094.0
767,"Casper-Riverton, WY",9,8,2789.0
770,"Salt Lake City, UT",631,355,395359.54
771,"Yuma, AZ-El Centro, CA",24,17,22400.94
773,"Grand Junction-Montrose, CO",30,25,22919.24
789,"Tucson (Sierra Vista), AZ",404,258,218143.86
790,"Albuquerque-Santa Fe, NM",607,386,344314.24
800,"Bakersfield, CA",112,69,76680.46
801,"Eugene, OR",174,123,91664.22
802,"Eureka, CA",57,40,44965.76
803,"Los Angeles, CA",5940,3865,3965114.13
804,"Palm Springs, CA",619,383,271530.62
807,"San Francisco-Oakland-San Jose, CA",12295,7728,7339929.69
810,"Yakima-Pasco-Richland-Kennewick, WA",117,77,85025.96
811,"Reno, NV",400,265,262597.0
813,"Medford-Klamath Falls, OR",151,95,98504.88
819,"Seattle-Tacoma, WA",2121,1452,1454121.1
820,"Portland, OR",1266,859,630007.88
821,"Bend, OR",103,71,52066.98
825,"San Diego, CA",1459,963,911479.44
828,"Monterey-Salinas, CA",714,479,431104.52
839,"Las Vegas, NV",406,283,251605.58
855,"Santa Barbara-Santa Maria-San Luis Obispo, CA",761,440,577215.34
862,"Sacramento-Stockton-Modesto, CA",1876,1263,1092710.2
866,"Fresno-Visalia, CA",400,250,261910.66
868,"Chico-Redding, CA",177,110,84330.12
881,"Spokane, WA",235,165,125321.74
